file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\ConnectionStreamFactory.java,org.eclipse.jdt.ls.core.internal.ConnectionStreamFactory$StdIOStreamProvider,innerclass,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\projects\gradle\android\app\src\main\java\com\example\myapplication\MainActivity.java,com.example.myapplication.MainActivity,class,3,3,0,3,1,2,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\participants\ResourceModifications.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.participants.ResourceModifications$CreateDescription,innerclass,4,4,0,4,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\managers\GradleBuildSupport.java,org.eclipse.jdt.ls.core.internal.managers.GradleBuildSupport,class,30,33,3,30,74,1,0,106,251,0.9503106,0.006535948,0.006535948,23,7,18,5,0,0,18,0,0,0,7,7,4,3,0,0,6,0,28,258,24,8,10,4,4,18,0,50,2,48,5,0,0,3,181,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\codemanipulation\ImportOrganizeTest.java,org.eclipse.jdt.ls.core.internal.codemanipulation.ImportOrganizeTest,class,24,25,1,24,16,3,0,59,36,0.8,0.16666667,0.2777778,12,0,6,3,3,0,9,0,0,0,5,1,0,5,0,0,1,0,4,225,2,2,1,7,0,117,5,55,2,53,4,1,0,0,120,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.tests\src\org\eclipse\jdt\ls\core\internal\handlers\GenerateConstructorsHandlerTest.java,org.eclipse.jdt.ls.core.internal.handlers.GenerateConstructorsHandlerTest,class,10,10,0,10,6,3,0,15,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,117,0,0,0,2,0,170,26,38,14,34,1,0,0,0,59,1,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\surround\ExceptionAnalyzer.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.surround.ExceptionAnalyzer$ExceptionComparator,innerclass,2,2,0,2,5,1,0,2,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,1,1,0,0,0,4,4,0,3,1,0,0,0,15,10,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\HtmlToPlainText.java,org.eclipse.jdt.ls.core.internal.javadoc.HtmlToPlainText$FormattingVisitor,innerclass,4,4,0,4,18,1,0,11,2,0.5,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,55,2,1,2,0,1,36,4,4,1,5,2,0,0,0,18,2,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corrections\proposals\JavadocTagsSubProcessor.java,org.eclipse.jdt.ls.core.internal.corrections.proposals.JavadocTagsSubProcessor$AddMissingJavadocTagProposal,innerclass,19,19,0,19,11,5,0,31,1,0.33333334,1.0,1.0,3,0,1,1,1,0,2,0,0,0,2,0,0,2,0,0,2,0,7,83,2,1,6,0,4,2,1,29,2,24,2,0,0,0,65,26,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\handlers\ResponseStore.java,org.eclipse.jdt.ls.core.internal.handlers.ResponseStore$ResponseItem,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,11,9,0
E:\Desktop\Courses\OOP\Week6\Project\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\javadoc\html\SubstitutionTextReader.java,org.eclipse.jdt.ls.core.internal.javadoc.html.SubstitutionTextReader,class,2,4,2,2,28,3,1,13,0,0.67499995,0.51111114,0.8,10,0,4,0,6,0,10,1,2,0,8,1,0,6,2,0,1,0,3,89,7,3,8,0,3,2,14,24,0,12,3,0,0,0,92,1025,0
