Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
priam,com.netflix.priam.backup,NullBackupFileSystem,0,0,9,6,25,9,2,2,-1.0,3,4
priam,com.netflix.priam.backup,TestAbstractFileSystem,7,0,21,14,180,34,0,0,0.19047619047619047,0,5
priam,com.netflix.priam.backup,FailureFileSystem,0,0,3,1,11,3,0,3,-1.0,0,4
priam,com.netflix.priam.backup,MyFileSystem,1,0,3,1,23,3,0,3,0.6666666666666666,0,4
priam,com.netflix.priam.backup,TestBackup,4,0,13,9,123,28,0,0,0.15384615384615385,2,5
priam,com.netflix.priam.backup,MockNodeProbe,0,0,2,2,19,5,0,0,-1.0,0,1
priam,com.netflix.priam.backup,TestBackupDynamicRateLimiter,7,0,18,12,92,18,0,0,0.1111111111111111,0,4
priam,com.netflix.priam.backup,FakeDirectorySize,1,0,2,1,9,2,0,1,0.0,0,0
priam,com.netflix.priam.backup,TestBackupFile,2,0,5,5,68,8,0,0,0.4,0,3
priam,com.netflix.priam.backup,TestBackupHelperImpl,12,0,13,13,109,19,0,0,0.15384615384615385,0,5
priam,com.netflix.priam.backup,ParameterizedTests,3,0,6,6,48,10,0,0,0.6666666666666666,0,5
priam,com.netflix.priam.backup,ProgrammaticTests,2,0,7,7,52,9,0,0,0.42857142857142855,0,5
priam,com.netflix.priam.backup,TestBackupService,2,0,6,6,93,7,0,0,0.0,0,10
priam,com.netflix.priam.backup,TestBackupStatusMgr,4,0,12,10,141,16,0,0,0.0,0,4
priam,com.netflix.priam.backup,TestBackupVerification,7,0,14,11,135,16,0,0,0.14285714285714285,3,9
priam,com.netflix.priam.backup,MockMetaV1Proxy,0,0,1,1,5,1,0,0,-1.0,0,2
priam,com.netflix.priam.backup,MockMetaV2Proxy,0,0,1,1,5,1,0,0,-1.0,0,2
priam,com.netflix.priam.backup,TestCompression,1,0,5,4,77,10,0,0,0.0,0,2
priam,com.netflix.priam.backup,TestCustomizedTPE,4,0,2,2,36,4,0,0,0.0,0,1
priam,com.netflix.priam.backup,TestFileIterator,8,0,13,10,162,22,0,0,0.23076923076923078,2,5
priam,com.netflix.priam.backup,MockAmazonS3Client,0,0,2,2,14,2,0,0,-1.0,1,0
priam,com.netflix.priam.backup,MockObjectListing,3,0,2,2,23,5,0,0,0.0,1,1
priam,com.netflix.priam.backup,TestS3FileSystem,14,0,25,20,208,37,0,0,0.2,0,11
priam,com.netflix.priam.backup,MockS3PartUploader,5,0,5,4,31,7,0,0,0.0,2,2
priam,com.netflix.priam.backup,MockAmazonS3Client,3,0,8,5,48,13,0,0,0.625,0,0
priam,com.netflix.priam.backupv2,BackupTTLTask,13,1,7,5,117,20,0,0,0.0,3,7
priam,com.netflix.priam.backupv2,MetaFileWalker,0,0,1,1,5,1,0,1,-1.0,0,1
priam,com.netflix.priam.backupv2,BackupV2Service,6,0,4,4,42,6,0,0,0.5,2,10
priam,com.netflix.priam.backupv2,BackupVerificationTask,7,1,4,4,58,7,0,0,0.0,2,8
priam,com.netflix.priam.backupv2,ColumnFamilyResult,5,0,9,9,44,10,0,0,0.6666666666666666,11,2
priam,com.netflix.priam.backupv2,SSTableResult,2,0,4,4,19,4,0,0,0.75,1,1
priam,com.netflix.priam.backupv2,FileUploadResult,8,0,8,8,51,8,0,0,0.375,2,2
priam,com.netflix.priam.backupv2,ForgottenFilesManager,6,0,4,2,87,14,0,0,0.0,2,3
priam,com.netflix.priam.backupv2,IMetaProxy,0,0,8,0,52,8,2,0,-1.0,12,2
priam,com.netflix.priam.backupv2,MetaFileInfo,9,4,13,13,56,13,0,0,0.3076923076923077,7,3
priam,com.netflix.priam.backupv2,MetaFileReader,2,0,4,4,56,10,4,0,0.0,0,4
priam,com.netflix.priam.backupv2,MetaFileWriterBuilder,9,0,18,9,125,20,0,0,0.5,4,11
priam,com.netflix.priam.backupv2,StartStep,0,0,1,0,3,1,1,0,-1.0,0,0
priam,com.netflix.priam.backupv2,DataStep,0,0,2,0,4,2,1,0,-1.0,0,0
priam,com.netflix.priam.backupv2,UploadStep,0,0,3,0,5,3,1,0,-1.0,0,0
priam,com.netflix.priam.backupv2,MetaFileWriter,7,0,10,7,100,12,0,1,0.2,1,10
priam,com.netflix.priam.backupv2,MetaV1Proxy,2,0,9,9,92,18,0,1,0.4444444444444444,2,2
priam,com.netflix.priam.backupv2,MetaV2Proxy,6,0,12,11,132,23,0,1,0.25,4,6
priam,com.netflix.priam.backupv2,MetaFileBackupValidator,1,0,1,1,15,4,0,1,0.0,1,1
priam,com.netflix.priam.backupv2,MetaFileBackupWalker,1,0,1,1,10,3,0,1,0.0,1,1
priam,com.netflix.priam.backupv2,SnapshotMetaTask,21,1,23,8,239,41,0,0,0.21739130434782608,7,11
priam,com.netflix.priam.backupv2,TestBackupTTLTask,7,0,8,6,125,11,0,0,0.0,0,8
priam,com.netflix.priam.backupv2,TestBackupUtils,5,0,3,3,43,4,0,0,0.0,3,3
priam,com.netflix.priam.backupv2,TestBackupV2Service,4,0,6,6,115,7,0,0,0.0,0,12
priam,com.netflix.priam.backupv2,TestBackupVerificationTask,7,0,15,12,124,17,0,0,0.0,1,6
priam,com.netflix.priam.backupv2,MockBackupVerification,3,0,5,5,22,7,0,0,0.0,1,0
priam,com.netflix.priam.backupv2,MockBackupNotificationMgr,0,0,0,0,2,0,0,0,-1.0,0,0
priam,com.netflix.priam.backupv2,TestForgottenFileManager,8,0,9,9,124,11,0,0,0.3333333333333333,0,5
priam,com.netflix.priam.backupv2,ForgottenFilesConfiguration,2,0,3,3,13,3,0,0,0.6666666666666666,1,0
priam,com.netflix.priam.backupv2,TestMetaV2Proxy,5,0,13,10,108,14,0,0,0.15384615384615385,0,8
priam,com.netflix.priam.backupv2,TestSnapshotMetaTask,8,0,9,7,70,9,0,0,0.0,0,11
priam,com.netflix.priam.backupv2,TestMetaFileReader,1,0,2,1,9,2,0,1,0.0,1,1
priam,com.netflix.priam.cli,Application,1,0,3,0,15,4,0,0,0.0,4,3
priam,com.netflix.priam.cli,Backuper,1,0,1,1,18,1,0,0,0.0,0,2
priam,com.netflix.priam.cli,IncrementalBackuper,1,0,1,1,18,1,0,0,0.0,0,2
priam,com.netflix.priam.cli,LightGuiceModule,0,0,1,0,7,1,0,0,-1.0,0,5
priam,com.netflix.priam.cli,Restorer,1,0,2,1,28,3,0,0,0.0,1,4
priam,com.netflix.priam.cli,StaticMembership,7,0,9,9,54,13,0,0,0.6666666666666666,1,0
priam,com.netflix.priam.cluster.management,ClusterManagementService,2,0,4,4,16,4,0,0,0.75,1,4
priam,com.netflix.priam.cluster.management,Compaction,3,0,6,2,61,15,0,1,0.0,2,7
priam,com.netflix.priam.cluster.management,Flush,4,0,4,2,56,10,0,1,0.0,2,6
