Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
dubbo-compatible,org.apache.dubbo.metadata.rest,SpringRestService,0,0,7,7,35,7,0,1,-1.0,4,1
dubbo-compatible,org.apache.dubbo.metadata.rest,StandardRestService,0,0,7,7,36,7,0,1,-1.0,3,1
dubbo-compatible,org.apache.dubbo.metadata.rest,User,3,0,7,7,30,7,0,0,0.0,8,0
dubbo-compatible,org.apache.dubbo.metadata.tools,Ancestor,1,0,2,2,12,2,1,0,0.0,0,0
dubbo-compatible,org.apache.dubbo.metadata.tools,Compiler,4,0,12,6,69,15,0,0,0.16666666666666666,7,1
dubbo-compatible,org.apache.dubbo.metadata.tools,CompilerTest,0,0,1,0,9,1,0,0,-1.0,0,4
dubbo-compatible,org.apache.dubbo.metadata.tools,DefaultRestServiceTest,0,0,1,0,10,1,0,0,-1.0,0,6
dubbo-compatible,org.apache.dubbo.metadata.tools,DefaultTestService,1,0,5,5,22,5,1,1,1.0,3,1
dubbo-compatible,org.apache.dubbo.metadata.tools,GenericTestService,0,0,1,1,9,1,1,2,-1.0,3,0
dubbo-compatible,org.apache.dubbo.metadata.tools,Parent,4,0,8,8,33,8,0,1,0.5,0,0
dubbo-compatible,org.apache.dubbo.metadata.tools,RestServiceTest,0,0,1,0,10,1,0,0,-1.0,0,5
dubbo-compatible,org.apache.dubbo.metadata.tools,SpringRestServiceTest,0,0,1,0,10,1,0,0,-1.0,0,4
dubbo-compatible,org.apache.dubbo.metadata.tools,StandardRestServiceTest,0,0,1,0,10,1,0,0,-1.0,0,4
dubbo-compatible,org.apache.dubbo.metadata.tools,TestProcessor,0,0,3,3,15,3,0,0,-1.0,0,0
dubbo-compatible,org.apache.dubbo.metadata.tools,TestService,0,0,5,0,11,5,3,0,-1.0,3,1
dubbo-compatible,org.apache.dubbo.metadata.tools,TestServiceImpl,0,0,2,2,11,2,0,3,-1.0,8,0
dubbo-compatible,org.apache.dubbo.rpc.cluster,CompatibleRouter,0,0,3,3,13,3,0,0,-1.0,1,3
dubbo-compatible,org.apache.dubbo.rpc.cluster,CompatibleRouter2,0,0,3,3,13,3,0,0,-1.0,1,3
dubbo-compatible,org.apache.dubbo.rpc.cluster,NewRouter,0,0,5,5,19,5,0,0,-1.0,1,0
dubbo-compatible,org.apache.dubbo.rpc.cluster,RouterTest,1,0,2,1,22,2,0,0,0.0,0,3
dubbo-compatible,org.apache.dubbo.rpc.filter,GenericImplFilterTest,1,0,1,0,16,1,0,0,0.0,0,1
dubbo-compatible,org.apache.dubbo.rpc,RpcContextTest,0,0,2,0,14,2,0,0,-1.0,0,1
dubbo-compatible,org.apache.dubbo.rpc.support,DemoService,0,0,18,0,20,18,0,0,-1.0,1,1
dubbo-compatible,org.apache.dubbo.rpc.support,Person,3,0,6,6,26,6,0,0,0.3333333333333333,1,0
dubbo-compatible,org.apache.dubbo.serialization,MyObjectInput,1,0,13,13,42,13,0,0,0.9230769230769231,1,0
dubbo-compatible,org.apache.dubbo.serialization,MyObjectOutput,1,0,13,13,33,13,0,0,0.8461538461538461,1,0
dubbo-compatible,org.apache.dubbo.serialization,MySerialization,0,0,4,4,14,4,0,0,-1.0,1,1
dubbo-compatible,org.apache.dubbo.serialization,SerializationTest,5,0,7,1,40,7,0,0,0.0,0,3
dubbo-compatible,org.apache.dubbo.service,ComplexObject,13,0,40,40,182,48,0,0,0.275,4,4
dubbo-compatible,org.apache.dubbo.service,InnerObject,2,0,7,7,28,9,0,0,0.0,2,1
dubbo-compatible,org.apache.dubbo.service,InnerObject2,2,0,7,7,28,9,0,0,0.0,2,1
dubbo-compatible,org.apache.dubbo.service,InnerObject3,1,0,5,5,21,7,0,0,0.0,2,1
dubbo-compatible,org.apache.dubbo.service,CustomArgument,2,0,6,6,23,6,0,0,0.3333333333333333,2,0
dubbo-compatible,org.apache.dubbo.service,DemoService,0,0,12,0,14,12,1,0,-1.0,4,2
dubbo-compatible,org.apache.dubbo.service,DemoServiceImpl,0,0,15,15,54,18,0,1,-1.0,0,3
dubbo-compatible,org.apache.dubbo.service,MockInvocation,2,0,29,29,103,30,0,0,0.4827586206896552,0,0
dubbo-compatible,org.apache.dubbo.service,Person,3,0,4,4,20,4,0,0,0.5,2,0
