Project Name,Package Name,Type Name,Code Smell
dubbo-compatible,com.alibaba.dubbo.rpc,Invoker,Missing Hierarchy
dubbo-compatible,com.alibaba.dubbo.rpc,Invoker,Cyclic-Dependent Modularization
dubbo-compatible,com.alibaba.dubbo.rpc,CompatibleInvoker,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,InvokerListener,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,Protocol,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,ProxyFactory,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,Result,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.rpc,CompatibleResult,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,CompatibleResult,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.rpc,RpcContext,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.rpc,RpcException,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc,RpcInvocation,Insufficient Modularization
dubbo-compatible,com.alibaba.dubbo.rpc,RpcResult,Broken Hierarchy
dubbo-compatible,com.alibaba.dubbo.rpc.protocol.dubbo,FutureAdapter,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.protocol.rest.support,ContentType,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.protocol.rest.support,ContentType,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.service,EchoService,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.service,EchoService,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.service,GenericException,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.service,GenericService,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.rpc.support,RpcUtils,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.validation,Validation,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.validation,Validation,Unutilized Abstraction
dubbo-compatible,com.alibaba.dubbo.validation,Validator,Unnecessary Abstraction
dubbo-compatible,com.alibaba.dubbo.validation,Validator,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.cache,CacheTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.cache,NullInvocation,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.cache,MyCache,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.cache,MyCacheFactory,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.activate,ActivateExt1,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.activate.impl,ActivateExt1Impl1,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.activate.impl,OldActivateExt1Impl2,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.activate.impl,OldActivateExt1Impl3,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension,ExtensionTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension,MockDispatcher,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension,MyExtensionFactory,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension,InjectObject,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,ActivateComparatorTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter0,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter0,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter1,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter1,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter2,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter2,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter3,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter3,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter4,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Filter4,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,OldFilter0,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,OldFilter0,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,OldFilter5,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,OldFilter5,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter0,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter0,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter1,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter1,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter2,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.common.extension.support,Order0Filter2,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.utils,AnnotationUtilsTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.common.utils,C,Unnecessary Abstraction
dubbo-compatible,org.apache.dubbo.config,ApplicationConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ArgumentConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ConsumerConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,MethodConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ModuleConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ProtocolConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ProviderConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,ReferenceConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,RegistryConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config,SignatureTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.api,Box,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.api,HelloService,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.beans.factory.annotation,ServiceAnnotationTestConfiguration,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer,Ancestor,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer,Parent,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer,Parent,Broken Hierarchy
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer,Child,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer,Child,Broken Hierarchy
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer.test,Ancestor,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer.test,Parent,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer.test,Parent,Broken Hierarchy
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer.test,Child,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation.consumer.test,Child,Broken Hierarchy
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,DubboComponentScanRegistrarTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,DubboConfigConfigurationTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,EnableDubboConfigTest,Unutilized Abstraction
dubbo-compatible,org.apache.dubbo.config.spring.context.annotation,TestMultipleConfig,Unnecessary Abstraction
