file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\test\java\org\thoughtcrime\securesms\payments\reconciliation\LedgerReconcileTest.java,org.thoughtcrime.securesms.payments.reconciliation.LedgerReconcileTest,class,17,18,1,17,30,1,0,52,325,0.0,0.0,0.0,26,9,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,166,220,13,2,0,1,0,16,180,41,0,41,1,1,0,0,100,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\payments\preferences\details\PaymentDetailsFragment.java,org.thoughtcrime.securesms.payments.preferences.details.PaymentDetailsFragment,class,30,31,1,30,33,2,0,85,45,0.9,0.0,0.0,10,1,2,8,0,0,2,0,0,0,1,1,0,1,0,0,1,0,4,189,15,0,2,0,0,1,2,25,0,28,4,0,0,3,89,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\image-editor\lib\src\main\java\org\signal\imageeditor\core\renderers\FaceBlurRenderer.java,org.signal.imageeditor.core.renderers.FaceBlurRenderer,class,6,9,3,6,4,1,0,3,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,22,2,0,0,0,0,0,1,1,0,1,0,1,0,0,32,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\lintchecks\src\main\java\org\signal\lint\Registry.java,org.signal.lint.Registry,class,3,3,0,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,5,0,0,0,0,0,0,0,0,6,17,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\conversation\AttachmentKeyboardButtonAdapter.java,org.thoughtcrime.securesms.conversation.AttachmentKeyboardButtonAdapter,class,7,8,1,7,9,2,0,12,6,0.625,0.39285713,0.53571427,8,0,7,0,0,1,8,0,0,0,3,0,0,3,0,0,2,0,0,56,3,0,1,0,0,0,0,3,0,3,1,0,2,0,36,0,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\jobs\StorageSyncJob.java,org.thoughtcrime.securesms.jobs.StorageSyncJob$MissingGv2MasterKeyError,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\components\emoji\EmojiPageView.java,org.thoughtcrime.securesms.components.emoji.EmojiPageView$ScrollDisabler,innerclass,4,4,0,4,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\libsignal-service\src\main\java\org\whispersystems\signalservice\internal\util\Hex.java,org.whispersystems.signalservice.internal.util.Hex,class,3,8,5,3,21,1,0,11,26,0.90625,0.0,0.0,8,8,6,2,0,0,6,0,0,0,4,4,0,3,0,1,4,0,10,94,6,6,2,0,19,4,51,27,25,25,2,0,0,0,53,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\migrations\AvatarMigrationJob.java,org.thoughtcrime.securesms.migrations.AvatarMigrationJob,class,7,10,3,7,11,3,0,18,21,0.85714287,0.0,0.0,7,1,3,2,0,2,5,0,0,0,3,3,1,2,0,0,3,0,3,55,5,1,1,1,0,8,0,7,1,7,3,0,1,0,76,1,0
E:\Desktop\Courses\OOP\Week6\Project\Signal-Android\app\src\main\java\org\thoughtcrime\securesms\longmessage\LongMessageRepository.java,org.thoughtcrime.securesms.longmessage.LongMessageRepository$Callback,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
