Project Name,Package Name,Type Name,Code Smell
guava,com.google.common.base,ThreadSafeSupplier,Unutilized Abstraction
guava,com.google.common.base,SupplierFunction,Unnecessary Abstraction
guava,com.google.common.base,SupplierFunction,Unutilized Abstraction
guava,com.google.common.base,Verify,Insufficient Modularization
guava,com.google.common.base,VerifyException,Unutilized Abstraction
guava,com.google.common.cache,AbstractCache,Unutilized Abstraction
guava,com.google.common.cache,AbstractLoadingCache,Unutilized Abstraction
guava,com.google.common.cache,AbstractLoadingCache,Broken Hierarchy
guava,com.google.common.cache,CacheBuilder,Cyclic-Dependent Modularization
guava,com.google.common.cache,CacheBuilder,Insufficient Modularization
guava,com.google.common.cache,LoggerHolder,Unnecessary Abstraction
guava,com.google.common.cache,CacheBuilderSpec,Cyclic-Dependent Modularization
guava,com.google.common.cache,ValueParser,Cyclic-Dependent Modularization
guava,com.google.common.cache,IntegerParser,Unutilized Abstraction
guava,com.google.common.cache,LongParser,Unutilized Abstraction
guava,com.google.common.cache,InitialCapacityParser,Unutilized Abstraction
guava,com.google.common.cache,MaximumSizeParser,Unutilized Abstraction
guava,com.google.common.cache,MaximumWeightParser,Unutilized Abstraction
guava,com.google.common.cache,ConcurrencyLevelParser,Unutilized Abstraction
guava,com.google.common.cache,KeyStrengthParser,Unutilized Abstraction
guava,com.google.common.cache,ValueStrengthParser,Unutilized Abstraction
guava,com.google.common.cache,RecordStatsParser,Unutilized Abstraction
guava,com.google.common.cache,DurationParser,Unutilized Abstraction
guava,com.google.common.cache,AccessDurationParser,Unutilized Abstraction
guava,com.google.common.cache,WriteDurationParser,Unutilized Abstraction
guava,com.google.common.cache,RefreshDurationParser,Unutilized Abstraction
guava,com.google.common.cache,FunctionToCacheLoader,Unutilized Abstraction
guava,com.google.common.cache,SupplierToCacheLoader,Unutilized Abstraction
guava,com.google.common.cache,UnsupportedLoadingOperationException,Unutilized Abstraction
guava,com.google.common.cache,InvalidCacheLoadException,Unutilized Abstraction
guava,com.google.common.cache,ForwardingCache,Unutilized Abstraction
